,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
40,"Happy Xmas (War Is Over) - Remastered 2010","John Lennon",1947341,https://open.spotify.com/track/27RYrbL6S02LNVhDWVl38b
41,"Watermelon Sugar","Harry Styles",1908775,https://open.spotify.com/track/6UelLqGlWMcVH1E5c4H7lY
42,Afterglow,"Ed Sheeran",1871073,https://open.spotify.com/track/0E4Y1XIbs8GrAT1YqVy6dq
43,"Prisoner (feat. Dua Lipa)","Miley Cyrus",1841961,https://open.spotify.com/track/2Oycxb8QbPkpHTo8ZrmG0B
44,"Head & Heart (feat. MNEK)","Joel Corry",1827224,https://open.spotify.com/track/6cx06DFPPHchuUAcTxznu9
45,"ROCKSTAR (feat. Roddy Ricch)",DaBaby,1806905,https://open.spotify.com/track/7ytR5pFWmSjzHJIeQkgog4
46,Reloj,"Rauw Alejandro",1797581,https://open.spotify.com/track/4loQgPwJHocL3dFwLfjb1J
47,"La Nota","Manuel Turizo",1739529,https://open.spotify.com/track/7ndTONDDRFGiPnnhOzOXxq
48,"For The Night (feat. Lil Baby & DaBaby)","Pop Smoke",1706148,https://open.spotify.com/track/0PvFJmanyNQMseIFrU708S
49,"The Christmas Song (Merry Christmas To You)","Nat King Cole",1689417,https://open.spotify.com/track/4PS1e8f2LvuTFgUs1Cn3ON
50,"Someone You Loved","Lewis Capaldi",1677966,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
51,"Hecha Pa' Mi",Boza,1623025,https://open.spotify.com/track/3VvA1wSxukMLsvXoXtlwWx
52,"Dance Monkey","Tones And I",1620739,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku
53,"Chica Ideal","Sebastian Yatra",1587994,https://open.spotify.com/track/21N4Buj4xsyLb218lYle61
54,"Relación - Remix",Sech,1576174,https://open.spotify.com/track/35UUpTmrcFXNIVIN26ujXl
55,"Roses - Imanbek Remix","SAINt JHN",1568921,https://open.spotify.com/track/0zLCBJZSiELJf02ucPP9wb
56,"TE MUDASTE","Bad Bunny",1505628,https://open.spotify.com/track/5RubKOuDoPn5Kj5TLVxSxY
57,Heather,"Conan Gray",1493200,https://open.spotify.com/track/4xqrdfXkTW4T0RauPLv3WA
58,"La Tóxica",Farruko,1489865,https://open.spotify.com/track/15OjBeqNX3bShsGYQbteRv
59,"The Business",Tiësto,1489759,https://open.spotify.com/track/6f3Slt0GbA2bPZlz0aIFXN
60,"Holy (feat. Chance The Rapper)","Justin Bieber",1486617,https://open.spotify.com/track/5u1n1kITHCxxp8twBcZxWy
61,"champagne problems","Taylor Swift",1483798,https://open.spotify.com/track/0sY6ZUTh4yoctD8VIXz339
62,"Don't Start Now","Dua Lipa",1442498,https://open.spotify.com/track/3PfIrDoz19wz7qK7tYeu62
63,"Life Goes On",BTS,1435360,https://open.spotify.com/track/249gnXrbfmV8NG6jTEMSwD
64,BEBÉ,Camilo,1434675,https://open.spotify.com/track/7D7EH7MGyNHWSkqrszerI1
65,"White Christmas","Bing Crosby",1430679,https://open.spotify.com/track/4so0Wek9Ig1p6CRCHuINwW
66,"Vida de Rico",Camilo,1424716,https://open.spotify.com/track/73nAK3HgQK8dak83Y2WQ8F
67,"A Holly Jolly Christmas - Single Version","Burl Ives",1410269,https://open.spotify.com/track/77khP2fIVhSW23NwxrRluh
68,"Before You Go","Lewis Capaldi",1374685,https://open.spotify.com/track/2gMXnyrvIjhVBUZwvLZDMP
69,"Mi Niña",Wisin,1364298,https://open.spotify.com/track/2bgcUk2A3jjKbCJ7KPquTi
70,"Merry Christmas Everyone","Shakin' Stevens",1349437,https://open.spotify.com/track/2TE4xW3ImvpltVU0cPcKUn
71,"Sweater Weather","The Neighbourhood",1343068,https://open.spotify.com/track/2QjOHCTQ1Jl3zawyYOpxh6
72,Wonder,"Shawn Mendes",1328917,https://open.spotify.com/track/6ZuahEctZD6w75peme58hm
73,"Laugh Now Cry Later (feat. Lil Durk)",Drake,1320172,https://open.spotify.com/track/2SAqBLGA283SUiwJ3xOUVI
74,"Una Locura",Ozuna,1307648,https://open.spotify.com/track/5y7DaS3jAc9eZzcSOoUIwU
75,pov,"Ariana Grande",1298052,https://open.spotify.com/track/3UoULw70kMsiVXxW0L3A33
76,"no body, no crime (feat. HAIM)","Taylor Swift",1297720,https://open.spotify.com/track/6NriykdkRrjQMZo1sfVYUo
77,"La Curiosidad","Jay Wheeler",1283495,https://open.spotify.com/track/4HYDUMY0xSpeBr0AMY9cUz
78,"Se Te Nota (with Guaynaa)","Lele Pons",1275333,https://open.spotify.com/track/11EnQRgRMJwMAesfkB5pnu
79,"Savage Love (Laxed - Siren Beat)","Jawsh 685",1265759,https://open.spotify.com/track/1xQ6trAsedVPCdbtDAmk0c
80,"Paradise (feat. Dermot Kennedy)",MEDUZA,1264251,https://open.spotify.com/track/6ft4hAq6yde8jPZY2i5zLr
81,"Fairytale of New York (feat. Kirsty MacColl)","The Pogues",1257899,https://open.spotify.com/track/3VTNVsTTu05dmTsVFrmGpK
82,Gnat,Eminem,1248391,https://open.spotify.com/track/6cS9PmLky2NhLOhpIsUlow
83,"The Box","Roddy Ricch",1248001,https://open.spotify.com/track/0nbXyq5TXYPCO7pr3N8S4I
84,"Put Your Records On","Ritt Momney",1246612,https://open.spotify.com/track/6AGOKlMZWLCaEJGnaROtF9
85,"UN DIA (ONE DAY) (Feat. Tainy)","J Balvin",1245325,https://open.spotify.com/track/0EhpEsp4L0oRGM0vmeaN5e
86,Body,"Megan Thee Stallion",1235768,https://open.spotify.com/track/0A1hoCfMLkiAgvhWkkucJa
87,"death bed (coffee for your head)",Powfu,1224985,https://open.spotify.com/track/7eJMfftS33KTjuF7lTsMCx
88,"Take You Dancing","Jason Derulo",1224919,https://open.spotify.com/track/59qrUpoplZxbIZxk6X0Bm3
89,Jeans,"Justin Quiles",1220061,https://open.spotify.com/track/3GtnId3Cm1Xa6joCj08nzW
90,"SO DONE","The Kid LAROI",1217756,https://open.spotify.com/track/3qgPpwtuRu5oP8EtFSj8HE
91,"Ay, DiOs Mío!","KAROL G",1212861,https://open.spotify.com/track/7x4ASXYEKfQBCewcZhK776
92,"Breaking Me",Topic,1207453,https://open.spotify.com/track/3H7ihDc1dqLriiWXwsc2po
93,Goosebumps,HVME,1193066,https://open.spotify.com/track/20McUFi8KCIVdNDLrkTDuZ
94,"‘tis the damn season","Taylor Swift",1187690,https://open.spotify.com/track/4GBkffrtA51p17JH35irGA
95,"Parce (feat. Justin Quiles)",Maluma,1179767,https://open.spotify.com/track/4RJz8NfIe09gpKMiRUWKhJ
96,"Santa Claus Is Coming To Town","The Jackson 5",1174074,https://open.spotify.com/track/6a1hzBiTkgqTsDA0Xgfh9z
97,"Sunflower - Spider-Man: Into the Spider-Verse","Post Malone",1170581,https://open.spotify.com/track/0RiRZpuVRbi7oqRdSMwhQY
98,"Reminds Me Of You","Juice WRLD",1170257,https://open.spotify.com/track/5YSHygGN9D0mID1NsVd5my
99,Circles,"Post Malone",1162820,https://open.spotify.com/track/21jGcNKet2qwijlDFuPiPb
100,"lovely (with Khalid)","Billie Eilish",1160848,https://open.spotify.com/track/0u2P5u6lvoDfwTYjAADbn4
101,"Lucid Dreams","Juice WRLD",1156962,https://open.spotify.com/track/285pBltuF7vW8TeWk8hdRR
102,"Blueberry Faygo","Lil Mosey",1156598,https://open.spotify.com/track/22LAwLoDA5b4AaGSkg6bKW
103,"It's Beginning to Look a Lot Like Christmas (with Mitchell Ayres & His Orchestra)","Perry Como",1154406,https://open.spotify.com/track/2pXpURmn6zC5ZYDMms6fwa
104,"Santa Baby","Kylie Minogue",1154128,https://open.spotify.com/track/2SBr3MK1sdMs8IxdRcN6qz
105,"Nathy Peluso: Bzrp Music Sessions, Vol. 36",Bizarrap,1152156,https://open.spotify.com/track/78SeXVRJ7KCqVmOwTiFjnI
106,"gold rush","Taylor Swift",1151622,https://open.spotify.com/track/5BK0uqwY9DNfZ630STAEaq
107,"Blue Christmas","Elvis Presley",1125084,https://open.spotify.com/track/3QiAAp20rPC3dcAtKtMaqQ
108,"GIRL LIKE ME","Black Eyed Peas",1118864,https://open.spotify.com/track/2vBET2pmrQqafaS6zIaYta
109,Golden,"Harry Styles",1112853,https://open.spotify.com/track/45S5WTQEGOB1VHr1Q4FuPl
110,"Wishing Well","Juice WRLD",1108560,https://open.spotify.com/track/2U5WueTLIK5WJLD7mvDODv
111,"Train Wreck","James Arthur",1100518,https://open.spotify.com/track/55Am8neGJkdj2ADaM3aw5H
112,"Run Rudolph Run - Single Version","Chuck Berry",1098682,https://open.spotify.com/track/2pnPe4pJtq7689i5ydzvJJ
113,Memories,"Maroon 5",1092387,https://open.spotify.com/track/2b8fOow8UzyDFAE27YhOZM
114,Tusa,"KAROL G",1091086,https://open.spotify.com/track/7k4t7uLgtOxPwTpFmtJNTY
115,goosebumps,"Travis Scott",1086472,https://open.spotify.com/track/6gBFPUFcJLzWGx4lenP6h2
116,"Adore You","Harry Styles",1075318,https://open.spotify.com/track/3jjujdWJ72nww5eGnfs2E7
117,"Tattoo - Remix with Camilo","Rauw Alejandro",1070849,https://open.spotify.com/track/4G3PTss3mU33Tau7t4KbwE
118,"Christmas (Baby Please Come Home)","Darlene Love",1067563,https://open.spotify.com/track/47ohYW8e7dxCYn9qbUMBCI
119,"Come & Go (with Marshmello)","Juice WRLD",1047676,https://open.spotify.com/track/2Y0wPrPQBrGhoLn14xRYCG
120,Bandido,"Myke Towers",1044205,https://open.spotify.com/track/1xK1Gg9SxG8fy2Ya373oqb
121,"HIGHEST IN THE ROOM","Travis Scott",1043190,https://open.spotify.com/track/3eekarcy7kvN4yt5ZFzltW
122,"Step Into Christmas","Elton John",1041952,https://open.spotify.com/track/6sBWmE23q6xQHlnEZ8jYPT
123,"Midnight Sky","Miley Cyrus",1039106,https://open.spotify.com/track/4i2qxFEVVUi8yOYoxB8TCX
124,"Hawái - Remix",Maluma,1037233,https://open.spotify.com/track/0GzuHFG4Ql6DoyxFRnIk3F
125,Despeinada,Ozuna,1034523,https://open.spotify.com/track/0JAZWvvqttGFm4UMDsPQXC
126,Señorita,"Shawn Mendes",1033809,https://open.spotify.com/track/6v3KW9xbzN5yKLt9YKDYA2
127,Robbery,"Juice WRLD",1032572,https://open.spotify.com/track/6Hj9jySrnFppAI0sEMCZpJ
128,Falling,"Trevor Daniel",1028878,https://open.spotify.com/track/2rRJrJEo19S2J82BDsQ3F7
129,"Godzilla (feat. Juice WRLD)",Eminem,1028121,https://open.spotify.com/track/7FIWs0pqAYbP91WWM0vlTQ
130,"Stuck with U (with Justin Bieber)","Ariana Grande",1010181,https://open.spotify.com/track/4HBZA5flZLE435QTztThqH
131,Sofia,Clairo,1010071,https://open.spotify.com/track/7B3z0ySL9Rr0XvZEAjWZzM
132,"Christmas Lights",Coldplay,1005096,https://open.spotify.com/track/4fzyvSu73BhGvi96p2zwjL
133,Daisy,Ashnikko,997461,https://open.spotify.com/track/0AUvWawuP0ibk4SQ3sIZjk
134,"Life Is Good (feat. Drake)",Future,987353,https://open.spotify.com/track/1K5KBOgreBi5fkEHvg5ap3
135,"bad guy","Billie Eilish",986628,https://open.spotify.com/track/2Fxmhks0bxGSBdJ92vM42m
136,"Rain On Me (with Ariana Grande)","Lady Gaga",985275,https://open.spotify.com/track/7ju97lgwC2rKQ6wwsf9no9
137,Polvo,"Nicky Jam",984335,https://open.spotify.com/track/68mrW6gXHgupgSiDHgaDi5
138,"Show Out (with Skepta & Pop Smoke)","Kid Cudi",982807,https://open.spotify.com/track/5CFJRZRq6sdKKtRwNPWbYv
139,"tolerate it","Taylor Swift",974743,https://open.spotify.com/track/0PurA4JVJ8YQgSVopY8fn6
140,"Mood Swings (feat. Lil Tjay)","Pop Smoke",969818,https://open.spotify.com/track/5rZlwNFl01HqLWBQGryKSm
141,"Jingle Bell Rock - Daryl's Version","Daryl Hall & John Oates",961639,https://open.spotify.com/track/6pVW5LRWgeLaHudxauOTJU
142,"Tequila Shots","Kid Cudi",960627,https://open.spotify.com/track/30KctD1WsHKTIYczXjip5a
143,"Break My Heart","Dua Lipa",960332,https://open.spotify.com/track/017PF4Q3l4DBUiWoXk4OWT
144,"Hello (feat. A Boogie Wit da Hoodie)","Pop Smoke",951440,https://open.spotify.com/track/2r6OAV3WsYtXuXjvJ1lIDi
145,"Have Yourself A Merry Little Christmas","Sam Smith",938010,https://open.spotify.com/track/1Qi2wh8fFgDV7tl4Sj3f2K
146,"Santa's Coming for Us",Sia,937992,https://open.spotify.com/track/1N1ZpYUJc9fwrqk53FGgWv
147,"Dreams - 2004 Remaster","Fleetwood Mac",936142,https://open.spotify.com/track/0ofHAoxe9vBkTCp2UQIavz
148,"Baby, It's Cold Outside (feat. Meghan Trainor)","Brett Eldredge",934079,https://open.spotify.com/track/5Q2P43CJra0uRAogjHyJDK
149,"Head Shoulders Knees & Toes (feat. Norma Jean Martine)",Ofenbach,932837,https://open.spotify.com/track/6i7zAdNhzUN2k1HcrBxPHG
150,"La Jeepeta - Remix","Nio Garcia",931897,https://open.spotify.com/track/6bvfJf4KjonPMuPfGfy3S2
151,Shallow,"Lady Gaga",929522,https://open.spotify.com/track/2VxeLyX666F8uXCJ0dZF8B
152,"Deep End",Fousheé,928006,https://open.spotify.com/track/6HlE9t71z9DjGi7KqSyEpA
153,"At My Worst","Pink Sweat$",925909,https://open.spotify.com/track/2tI4WyzqOOwC23S5m0kqcB
154,"Tú Me Dejaste De Querer","C. Tangana",923040,https://open.spotify.com/track/0XinBYhf1X3kdvKQHOX971
155,"All Girls Are The Same","Juice WRLD",918975,https://open.spotify.com/track/4VXIryQMWpIdGgYR4TrjT1
156,"Mi Cuarto","Jerry Di",913082,https://open.spotify.com/track/6fmQjRuo7XvRFCK2qex5hQ
157,"How You Like That",BLACKPINK,912607,https://open.spotify.com/track/4SFknyjLcyTLJFPKD2m96o
158,"My Only Wish (This Year)","Britney Spears",909777,https://open.spotify.com/track/0YWUHZPJVg4iujddsJDwhM
159,Believer,"Imagine Dragons",907806,https://open.spotify.com/track/0pqnGHJpmpxLKifKRmU6WP
160,"Like It's Christmas","Jonas Brothers",901527,https://open.spotify.com/track/1OjmlSFuzYflWjSMTCyTJv
161,"Jocelyn Flores",XXXTENTACION,901159,https://open.spotify.com/track/7m9OqQk4RVRkw9JJdeAw96
162,"my ex's best friend (with blackbear)","Machine Gun Kelly",899709,https://open.spotify.com/track/7kDUspsoYfLkWnZR7qwHZl
163,"Daddy Issues","The Neighbourhood",897287,https://open.spotify.com/track/5E30LdtzQTGqRvNd7l6kG5
164,"Thank God It's Christmas - Non-Album Single",Queen,895878,https://open.spotify.com/track/2xGO2UjzxeVQSIkyg98vck
165,"If the World Was Ending (feat. Julia Michaels)","JP Saxe",891752,https://open.spotify.com/track/2kJwzbxV2ppxnQoYw4GLBZ
166,"Way Out (feat. Big Sean)","Jack Harlow",891275,https://open.spotify.com/track/57VeLYXrvNxe8Vs18K2M9W
167,"Toosie Slide",Drake,890517,https://open.spotify.com/track/466cKvZn1j45IpxDdYZqdA
168,"Christmas Without You","Ava Max",877759,https://open.spotify.com/track/1QLZKzC2pjP4ySf4ALrNhm
169,Perfect,"Ed Sheeran",876423,https://open.spotify.com/track/0tgVpDi06FyKpA1z0VMD4v
170,"You Make It Feel Like Christmas (feat. Blake Shelton)","Gwen Stefani",876054,https://open.spotify.com/track/2OQ6a4CfUeYskpTTgyawyJ
171,ROXANNE,"Arizona Zervas",875847,https://open.spotify.com/track/696DnlkuDOXcMAnKlTgXXK
172,"Tyler Herro","Jack Harlow",875521,https://open.spotify.com/track/3w1WjD2zJqjBjDz5fwqQPJ
173,"Say You Won't Let Go","James Arthur",871596,https://open.spotify.com/track/5uCax9HTNlzGybIStD3vDh
174,happiness,"Taylor Swift",871124,https://open.spotify.com/track/73YUReisjb3A9ActdLLjJQ
175,Dior,"Pop Smoke",871042,https://open.spotify.com/track/79s5XnCN4TJKTVMSmOx8Ep
176,"HACIENDO QUE ME AMAS","Bad Bunny",868749,https://open.spotify.com/track/26QApq0cuO9brJigr0C0W4
177,"POPSTAR (feat. Drake)","DJ Khaled",866669,https://open.spotify.com/track/6EDO9iiTtwNv6waLwa1UUq
178,"Christmas (Baby Please Come Home)","Mariah Carey",861649,https://open.spotify.com/track/3PIDciSFdrQxSQSihim3hN
179,"Ride It",Regard,858153,https://open.spotify.com/track/2tnVG71enUj33Ic2nFN6kZ
180,"Si Me Tomo Una Cerveza",Migrantes,855574,https://open.spotify.com/track/3lCbsHaN1wCxyDzcNN2x4N
181,Falling,"Harry Styles",854954,https://open.spotify.com/track/1ZMiCix7XSAbfAJlEZWMCp
182,"Whats Poppin (feat. DaBaby, Tory Lanez & Lil Wayne) [Remix] - Bonus Track","Jack Harlow",854618,https://open.spotify.com/track/0ZLuW8uOXdFNWcI40C0OC2
183,"La Luz",Sech,852742,https://open.spotify.com/track/5zj8WNkBrEzlI5FKeYV4ol
184,"7 rings","Ariana Grande",844644,https://open.spotify.com/track/6ocbgoVGwYJhOv1GgI9NsF
185,"Intentions (feat. Quavo)","Justin Bieber",844289,https://open.spotify.com/track/4umIPjkehX1r7uhmGvXiSV
186,"SICKO MODE","Travis Scott",844240,https://open.spotify.com/track/2xLMifQCjDGFmkHkpNLD9h
187,"Baby It's Cold Outside (duet with Michael Bublé)","Idina Menzel",843935,https://open.spotify.com/track/0Ie5uiv54KgCr7P4sYDTHl
188,"everything i wanted","Billie Eilish",843790,https://open.spotify.com/track/3ZCTVFBt2Brf31RLEnCkWJ
189,"Joy To The World","Nat King Cole",841974,https://open.spotify.com/track/1VuAamHM7P3VQQEXYGG3Uu
190,ivy,"Taylor Swift",841269,https://open.spotify.com/track/19CSr8rwW05VJL2F91KFNK
191,"I Saw Mommy Kissing Santa Claus","The Jackson 5",838216,https://open.spotify.com/track/3lkYS3iMpWMVpaJ0yJAFrJ
192,Caramelo,Ozuna,826705,https://open.spotify.com/track/5Jm4w8jmPEBTLjI9vH4fXo
193,"Shape of You","Ed Sheeran",825040,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3
194,"ily (i love you baby) (feat. Emilee)","Surf Mesa",819912,https://open.spotify.com/track/62aP9fBQKYKxi7PDXwcUAS
195,"Heat Waves","Glass Animals",815831,https://open.spotify.com/track/02MWAaffLxlfxAUY7c5dvx
196,"De Cora <3","Rauw Alejandro",812377,https://open.spotify.com/track/22Sh5dlwbERqJAq1fZk5b2
197,"Ice Cream (with Selena Gomez)",BLACKPINK,804434,https://open.spotify.com/track/4JUPEh2DVSXFGExu4Uxevz
198,"I Don't Care (with Justin Bieber)","Ed Sheeran",801187,https://open.spotify.com/track/0hVXuCcriWRGvwMV1r5Yn9
199,"Ponte Pa' Mi","Justin Quiles",797929,https://open.spotify.com/track/4C6BlqqMwjFzOXzqpTeoWR
200,"Lovesick Girls",BLACKPINK,797842,https://open.spotify.com/track/4Ws314Ylb27BVsvlZOy30C
