,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"All I Want for Christmas Is You","Mariah Carey",5186777,https://open.spotify.com/track/0bYg9bo50gSsH3LtXe2SQn
2,DÁKITI,"Bad Bunny",5086197,https://open.spotify.com/track/4MzXwWMhyBbmu6hOcLVD49
3,"Last Christmas",Wham!,4580974,https://open.spotify.com/track/2FRnf9qhLbvw8fu4IBXx78
4,"Santa Tell Me","Ariana Grande",3843470,https://open.spotify.com/track/0lizgQ7Qw35od7CYaoMBZb
5,"Rockin' Around The Christmas Tree","Brenda Lee",3702625,https://open.spotify.com/track/2EjXfH91m7f8HiJN1yQg97
6,positions,"Ariana Grande",3485626,https://open.spotify.com/track/35mvY5S1H3J2QZyna3TFe0
7,"Jingle Bell Rock","Bobby Helms",3479976,https://open.spotify.com/track/7vQbuQcyTflfCIOu3Uzzya
8,"Mood (feat. iann dior)",24kGoldn,3476564,https://open.spotify.com/track/3tjFYV6RSFtuktYl3ZtYcq
9,"It's Beginning to Look a Lot like Christmas","Michael Bublé",3470946,https://open.spotify.com/track/0lLdorYw7lVrJydTINhWdI
10,BICHOTA,"KAROL G",3383761,https://open.spotify.com/track/7vrJn5hDSXRmdXoR30KgF1
11,"It's the Most Wonderful Time of the Year","Andy Williams",3141591,https://open.spotify.com/track/1IcR6RlgvDczfvoWJSSY2A
12,"Blinding Lights","The Weeknd",3023592,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
13,"Underneath the Tree","Kelly Clarkson",2864619,https://open.spotify.com/track/3nAp4IvdMPPWEH9uuXFFV5
14,Snowman,Sia,2862456,https://open.spotify.com/track/7uoFMmxln0GPXQ0AcCBXRq
15,34+35,"Ariana Grande",2836701,https://open.spotify.com/track/6Im9k8u9iIzKMrmV7BWtlF
16,"Lemonade (feat. Gunna, Don Toliver & NAV)","Internet Money",2748918,https://open.spotify.com/track/7hxHWCCAIIxFLCzvDgnQHX
17,"LA NOCHE DE ANOCHE","Bad Bunny",2723353,https://open.spotify.com/track/2XIc1pqjXV3Cr2BQUGNBck
18,Dynamite,BTS,2712303,https://open.spotify.com/track/4saklk6nie3yiGePpBwUoc
19,willow,"Taylor Swift",2605916,https://open.spotify.com/track/3Uo7WG0vmLQ07WB4BDwy7D
20,"Therefore I Am","Billie Eilish",2537779,https://open.spotify.com/track/54bFM56PmE4YLRnqpW6Tha
21,Mistletoe,"Justin Bieber",2435831,https://open.spotify.com/track/7xapw9Oy21WpfEcib2ErSA
22,"WITHOUT YOU","The Kid LAROI",2428812,https://open.spotify.com/track/27OeeYzk6klgBh83TSvGMA
23,"Let It Snow! Let It Snow! Let It Snow!","Dean Martin",2404463,https://open.spotify.com/track/2uFaJJtFpPDc5Pa95XzTvg
24,Whoopty,CJ,2340573,https://open.spotify.com/track/5vGLcdRuSbUhD8ScwsGSdA
25,"Feliz Navidad","José Feliciano",2315339,https://open.spotify.com/track/3qCeq0rWK67SoBDgFd2sId
26,"Sleigh Ride","The Ronettes",2259511,https://open.spotify.com/track/7fUYUcWy853HS8YJn0b3Sr
27,"Do They Know It's Christmas? - 1984 Version","Band Aid",2255400,https://open.spotify.com/track/0247StOpd3AkeBQzANX4Zf
28,"Let It Snow! Let It Snow! Let It Snow! (with The B. Swanson Quartet)","Frank Sinatra",2219611,https://open.spotify.com/track/4kKdvXD0ez7jp1296JmAts
29,"What You Know Bout Love","Pop Smoke",2217260,https://open.spotify.com/track/1tkg4EHVoqnhR6iFEXb60y
30,HOLIDAY,"Lil Nas X",2212294,https://open.spotify.com/track/6zFMeegAMYQo0mt8rXtrli
31,"Monster (Shawn Mendes & Justin Bieber)","Shawn Mendes",2195550,https://open.spotify.com/track/1HbA4N1MiOsPthALesGFR1
32,"Holly Jolly Christmas","Michael Bublé",2135042,https://open.spotify.com/track/6tjituizSxwSmBB5vtgHZE
33,Hawái,Maluma,2049256,https://open.spotify.com/track/1yoMvmasuxZfqHEipJhRbp
34,"Wonderful Christmastime - Edited Version / Remastered 2011","Paul McCartney",2022564,https://open.spotify.com/track/1SV1fxF65n9NhRHp3KlBuu
35,"Levitating (feat. DaBaby)","Dua Lipa",2004754,https://open.spotify.com/track/5nujrmhLynf4yMoMtj8AQF
36,"Lonely (with benny blanco)","Justin Bieber",1992825,https://open.spotify.com/track/4y4spB9m0Q6026KfkAvy9Q
37,"WAP (feat. Megan Thee Stallion)","Cardi B",1966629,https://open.spotify.com/track/4Oun2ylbjFKMPTiaSbbCih
38,"Driving Home for Christmas - 2019 Remaster","Chris Rea",1963486,https://open.spotify.com/track/27qAMKrDdKEs8HDXcvR24R
39,"you broke me first","Tate McRae",1950900,https://open.spotify.com/track/45bE4HXI0AwGZXfZtMp8JR
