,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
17,Afterglow,"Ed Sheeran",1876413,https://open.spotify.com/track/0E4Y1XIbs8GrAT1YqVy6dq
18,"Watermelon Sugar","Harry Styles",1866894,https://open.spotify.com/track/6UelLqGlWMcVH1E5c4H7lY
19,HOLIDAY,"Lil Nas X",1836869,https://open.spotify.com/track/6zFMeegAMYQo0mt8rXtrli
20,"you broke me first","Tate McRae",1828608,https://open.spotify.com/track/45bE4HXI0AwGZXfZtMp8JR
21,willow,"Taylor Swift",1795588,https://open.spotify.com/track/3Uo7WG0vmLQ07WB4BDwy7D
22,Hawái,Maluma,1788899,https://open.spotify.com/track/1yoMvmasuxZfqHEipJhRbp
23,"Lonely (with benny blanco)","Justin Bieber",1735504,https://open.spotify.com/track/4y4spB9m0Q6026KfkAvy9Q
24,"WAP (feat. Megan Thee Stallion)","Cardi B",1716938,https://open.spotify.com/track/4Oun2ylbjFKMPTiaSbbCih
25,"Head & Heart (feat. MNEK)","Joel Corry",1665004,https://open.spotify.com/track/6cx06DFPPHchuUAcTxznu9
26,Snowman,Sia,1655201,https://open.spotify.com/track/7uoFMmxln0GPXQ0AcCBXRq
27,"Hecha Pa' Mi",Boza,1648014,https://open.spotify.com/track/3VvA1wSxukMLsvXoXtlwWx
28,"ROCKSTAR (feat. Roddy Ricch)",DaBaby,1629483,https://open.spotify.com/track/7ytR5pFWmSjzHJIeQkgog4
29,"Someone You Loved","Lewis Capaldi",1616320,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
30,"Dance Monkey","Tones And I",1593687,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku
31,"Prisoner (feat. Dua Lipa)","Miley Cyrus",1566940,https://open.spotify.com/track/2Oycxb8QbPkpHTo8ZrmG0B
32,Reloj,"Rauw Alejandro",1565901,https://open.spotify.com/track/4loQgPwJHocL3dFwLfjb1J
33,"Roses - Imanbek Remix","SAINt JHN",1540479,https://open.spotify.com/track/0zLCBJZSiELJf02ucPP9wb
34,"For The Night (feat. Lil Baby & DaBaby)","Pop Smoke",1535745,https://open.spotify.com/track/0PvFJmanyNQMseIFrU708S
35,"La Nota","Manuel Turizo",1497372,https://open.spotify.com/track/7ndTONDDRFGiPnnhOzOXxq
36,Bandido,"Myke Towers",1491101,https://open.spotify.com/track/1xK1Gg9SxG8fy2Ya373oqb
37,"The Business",Tiësto,1489252,https://open.spotify.com/track/6f3Slt0GbA2bPZlz0aIFXN
38,"Don't Start Now","Dua Lipa",1484259,https://open.spotify.com/track/3PfIrDoz19wz7qK7tYeu62
39,"Good Days",SZA,1459312,https://open.spotify.com/track/3YJJjQPAbDT7mGpX3WtQ9A
40,"Chica Ideal","Sebastian Yatra",1388307,https://open.spotify.com/track/21N4Buj4xsyLb218lYle61
41,Heather,"Conan Gray",1356148,https://open.spotify.com/track/4xqrdfXkTW4T0RauPLv3WA
42,"Sweater Weather","The Neighbourhood",1350482,https://open.spotify.com/track/2QjOHCTQ1Jl3zawyYOpxh6
43,"Relación - Remix",Sech,1316571,https://open.spotify.com/track/35UUpTmrcFXNIVIN26ujXl
44,"Before You Go","Lewis Capaldi",1311392,https://open.spotify.com/track/2gMXnyrvIjhVBUZwvLZDMP
45,BEBÉ,Camilo,1301054,https://open.spotify.com/track/7D7EH7MGyNHWSkqrszerI1
46,Goosebumps,HVME,1284023,https://open.spotify.com/track/20McUFi8KCIVdNDLrkTDuZ
47,"La Tóxica",Farruko,1280503,https://open.spotify.com/track/15OjBeqNX3bShsGYQbteRv
48,"Vida de Rico",Camilo,1275683,https://open.spotify.com/track/73nAK3HgQK8dak83Y2WQ8F
49,"TE MUDASTE","Bad Bunny",1230722,https://open.spotify.com/track/5RubKOuDoPn5Kj5TLVxSxY
50,"Laugh Now Cry Later (feat. Lil Durk)",Drake,1221536,https://open.spotify.com/track/2SAqBLGA283SUiwJ3xOUVI
51,"Paradise (feat. Dermot Kennedy)",MEDUZA,1219306,https://open.spotify.com/track/6ft4hAq6yde8jPZY2i5zLr
52,"Holy (feat. Chance The Rapper)","Justin Bieber",1188239,https://open.spotify.com/track/5u1n1kITHCxxp8twBcZxWy
53,"Savage Love (Laxed - Siren Beat)","Jawsh 685",1176826,https://open.spotify.com/track/1xQ6trAsedVPCdbtDAmk0c
54,Wonder,"Shawn Mendes",1168549,https://open.spotify.com/track/6ZuahEctZD6w75peme58hm
55,"death bed (coffee for your head)",Powfu,1157058,https://open.spotify.com/track/7eJMfftS33KTjuF7lTsMCx
56,"Put Your Records On","Ritt Momney",1138993,https://open.spotify.com/track/6AGOKlMZWLCaEJGnaROtF9
57,"Life Goes On",BTS,1134813,https://open.spotify.com/track/249gnXrbfmV8NG6jTEMSwD
58,Circles,"Post Malone",1127226,https://open.spotify.com/track/21jGcNKet2qwijlDFuPiPb
59,"Mi Niña",Wisin,1121473,https://open.spotify.com/track/2bgcUk2A3jjKbCJ7KPquTi
60,"Una Locura",Ozuna,1106082,https://open.spotify.com/track/5y7DaS3jAc9eZzcSOoUIwU
61,"Take You Dancing","Jason Derulo",1098259,https://open.spotify.com/track/59qrUpoplZxbIZxk6X0Bm3
62,"The Box","Roddy Ricch",1092396,https://open.spotify.com/track/0nbXyq5TXYPCO7pr3N8S4I
63,"SO DONE","The Kid LAROI",1079421,https://open.spotify.com/track/3qgPpwtuRu5oP8EtFSj8HE
64,"Blueberry Faygo","Lil Mosey",1064764,https://open.spotify.com/track/22LAwLoDA5b4AaGSkg6bKW
65,"La Curiosidad","Jay Wheeler",1063789,https://open.spotify.com/track/4HYDUMY0xSpeBr0AMY9cUz
66,"Se Te Nota (with Guaynaa)","Lele Pons",1061365,https://open.spotify.com/track/11EnQRgRMJwMAesfkB5pnu
67,"lovely (with Khalid)","Billie Eilish",1060829,https://open.spotify.com/track/0u2P5u6lvoDfwTYjAADbn4
68,"GIRL LIKE ME","Black Eyed Peas",1049752,https://open.spotify.com/track/2vBET2pmrQqafaS6zIaYta
69,"Sunflower - Spider-Man: Into the Spider-Verse","Post Malone",1048244,https://open.spotify.com/track/0RiRZpuVRbi7oqRdSMwhQY
70,pov,"Ariana Grande",1047384,https://open.spotify.com/track/3UoULw70kMsiVXxW0L3A33
71,"Breaking Me",Topic,1046284,https://open.spotify.com/track/3H7ihDc1dqLriiWXwsc2po
72,"Lucid Dreams","Juice WRLD",1045672,https://open.spotify.com/track/285pBltuF7vW8TeWk8hdRR
73,"UN DIA (ONE DAY) (Feat. Tainy)","J Balvin",1045405,https://open.spotify.com/track/0EhpEsp4L0oRGM0vmeaN5e
74,Golden,"Harry Styles",1036656,https://open.spotify.com/track/45S5WTQEGOB1VHr1Q4FuPl
75,"Wishing Well","Juice WRLD",1036523,https://open.spotify.com/track/2U5WueTLIK5WJLD7mvDODv
76,Body,"Megan Thee Stallion",1027646,https://open.spotify.com/track/0A1hoCfMLkiAgvhWkkucJa
77,Memories,"Maroon 5",1022959,https://open.spotify.com/track/2b8fOow8UzyDFAE27YhOZM
78,Jeans,"Justin Quiles",1016384,https://open.spotify.com/track/3GtnId3Cm1Xa6joCj08nzW
79,"Adore You","Harry Styles",1010042,https://open.spotify.com/track/3jjujdWJ72nww5eGnfs2E7
80,"Train Wreck","James Arthur",1007293,https://open.spotify.com/track/55Am8neGJkdj2ADaM3aw5H
81,"Ay, DiOs Mío!","KAROL G",994889,https://open.spotify.com/track/7x4ASXYEKfQBCewcZhK776
82,"Nathy Peluso: Bzrp Music Sessions, Vol. 36",Bizarrap,975675,https://open.spotify.com/track/78SeXVRJ7KCqVmOwTiFjnI
83,"Parce (feat. Justin Quiles)",Maluma,973184,https://open.spotify.com/track/4RJz8NfIe09gpKMiRUWKhJ
84,"Dreams - 2004 Remaster","Fleetwood Mac",966539,https://open.spotify.com/track/0ofHAoxe9vBkTCp2UQIavz
85,Señorita,"Shawn Mendes",962132,https://open.spotify.com/track/6v3KW9xbzN5yKLt9YKDYA2
86,Tusa,"KAROL G",949979,https://open.spotify.com/track/7k4t7uLgtOxPwTpFmtJNTY
87,"Come & Go (with Marshmello)","Juice WRLD",942634,https://open.spotify.com/track/2Y0wPrPQBrGhoLn14xRYCG
88,"bad guy","Billie Eilish",932210,https://open.spotify.com/track/2Fxmhks0bxGSBdJ92vM42m
89,"Reminds Me Of You","Juice WRLD",931814,https://open.spotify.com/track/5YSHygGN9D0mID1NsVd5my
90,goosebumps,"Travis Scott",927945,https://open.spotify.com/track/6gBFPUFcJLzWGx4lenP6h2
91,Sofia,Clairo,919452,https://open.spotify.com/track/7B3z0ySL9Rr0XvZEAjWZzM
92,"Hello (feat. A Boogie Wit da Hoodie)","Pop Smoke",906533,https://open.spotify.com/track/2r6OAV3WsYtXuXjvJ1lIDi
93,"Rain On Me (with Ariana Grande)","Lady Gaga",906143,https://open.spotify.com/track/7ju97lgwC2rKQ6wwsf9no9
94,Falling,"Trevor Daniel",901132,https://open.spotify.com/track/2rRJrJEo19S2J82BDsQ3F7
95,Robbery,"Juice WRLD",900825,https://open.spotify.com/track/6Hj9jySrnFppAI0sEMCZpJ
96,"Tattoo - Remix with Camilo","Rauw Alejandro",887409,https://open.spotify.com/track/4G3PTss3mU33Tau7t4KbwE
97,"At My Worst","Pink Sweat$",883990,https://open.spotify.com/track/2tI4WyzqOOwC23S5m0kqcB
98,"Daddy Issues","The Neighbourhood",882482,https://open.spotify.com/track/5E30LdtzQTGqRvNd7l6kG5
99,"Life Is Good (feat. Drake)",Future,875044,https://open.spotify.com/track/1K5KBOgreBi5fkEHvg5ap3
100,"Hawái - Remix",Maluma,871867,https://open.spotify.com/track/0GzuHFG4Ql6DoyxFRnIk3F
101,Polvo,"Nicky Jam",867987,https://open.spotify.com/track/68mrW6gXHgupgSiDHgaDi5
102,Daisy,Ashnikko,867454,https://open.spotify.com/track/0AUvWawuP0ibk4SQ3sIZjk
103,"Stuck with U (with Justin Bieber)","Ariana Grande",866252,https://open.spotify.com/track/4HBZA5flZLE435QTztThqH
104,"Midnight Sky","Miley Cyrus",862011,https://open.spotify.com/track/4i2qxFEVVUi8yOYoxB8TCX
105,"Head Shoulders Knees & Toes (feat. Norma Jean Martine)",Ofenbach,860065,https://open.spotify.com/track/6i7zAdNhzUN2k1HcrBxPHG
106,Shallow,"Lady Gaga",857732,https://open.spotify.com/track/2VxeLyX666F8uXCJ0dZF8B
107,"champagne problems","Taylor Swift",853996,https://open.spotify.com/track/0sY6ZUTh4yoctD8VIXz339
108,Despeinada,Ozuna,852627,https://open.spotify.com/track/0JAZWvvqttGFm4UMDsPQXC
109,"Mood Swings (feat. Lil Tjay)","Pop Smoke",844800,https://open.spotify.com/track/5rZlwNFl01HqLWBQGryKSm
110,"If the World Was Ending (feat. Julia Michaels)","JP Saxe",844781,https://open.spotify.com/track/2kJwzbxV2ppxnQoYw4GLBZ
111,"Jocelyn Flores",XXXTENTACION,844363,https://open.spotify.com/track/7m9OqQk4RVRkw9JJdeAw96
112,"Break My Heart","Dua Lipa",843523,https://open.spotify.com/track/017PF4Q3l4DBUiWoXk4OWT
113,Believer,"Imagine Dragons",839185,https://open.spotify.com/track/0pqnGHJpmpxLKifKRmU6WP
114,"Recairei - Ao Vivo","Os Barões Da Pisadinha",837831,https://open.spotify.com/track/2JTir3y1VuJQmexiTCMcTP
115,"Say You Won't Let Go","James Arthur",834796,https://open.spotify.com/track/5uCax9HTNlzGybIStD3vDh
116,"Heat Waves","Glass Animals",834532,https://open.spotify.com/track/02MWAaffLxlfxAUY7c5dvx
117,"my ex's best friend (with blackbear)","Machine Gun Kelly",830455,https://open.spotify.com/track/7kDUspsoYfLkWnZR7qwHZl
118,"All Girls Are The Same","Juice WRLD",830120,https://open.spotify.com/track/4VXIryQMWpIdGgYR4TrjT1
119,"HIGHEST IN THE ROOM","Travis Scott",830053,https://open.spotify.com/track/3eekarcy7kvN4yt5ZFzltW
120,Falling,"Harry Styles",827293,https://open.spotify.com/track/1ZMiCix7XSAbfAJlEZWMCp
121,"Godzilla (feat. Juice WRLD)",Eminem,827047,https://open.spotify.com/track/7FIWs0pqAYbP91WWM0vlTQ
122,"Way Out (feat. Big Sean)","Jack Harlow",788291,https://open.spotify.com/track/57VeLYXrvNxe8Vs18K2M9W
123,"Intentions (feat. Quavo)","Justin Bieber",787820,https://open.spotify.com/track/4umIPjkehX1r7uhmGvXiSV
124,Perfect,"Ed Sheeran",786849,https://open.spotify.com/track/0tgVpDi06FyKpA1z0VMD4v
125,"How You Like That",BLACKPINK,785614,https://open.spotify.com/track/4SFknyjLcyTLJFPKD2m96o
126,"Si Me Tomo Una Cerveza",Migrantes,781273,https://open.spotify.com/track/3lCbsHaN1wCxyDzcNN2x4N
127,"Tyler Herro","Jack Harlow",780747,https://open.spotify.com/track/3w1WjD2zJqjBjDz5fwqQPJ
128,"7 rings","Ariana Grande",778939,https://open.spotify.com/track/6ocbgoVGwYJhOv1GgI9NsF
129,Hayloft,"Mother Mother",776979,https://open.spotify.com/track/2kS6td1yvmpNgZTt1q5pQq
130,"Why'd You Only Call Me When You're High?","Arctic Monkeys",775522,https://open.spotify.com/track/48q0vSHcJdhK3IiXH8C5WJ
131,ROXANNE,"Arizona Zervas",772382,https://open.spotify.com/track/696DnlkuDOXcMAnKlTgXXK
132,"Love Not War (The Tampa Beat)","Jason Derulo",771312,https://open.spotify.com/track/4Lt6GXGzYsa1tgkv3nGSTm
133,"POPSTAR (feat. Drake)","DJ Khaled",767078,https://open.spotify.com/track/6EDO9iiTtwNv6waLwa1UUq
134,"La Jeepeta - Remix","Nio Garcia",766950,https://open.spotify.com/track/6bvfJf4KjonPMuPfGfy3S2
135,"Ride It",Regard,766378,https://open.spotify.com/track/2tnVG71enUj33Ic2nFN6kZ
136,"Toosie Slide",Drake,766006,https://open.spotify.com/track/466cKvZn1j45IpxDdYZqdA
137,Dior,"Pop Smoke",765405,https://open.spotify.com/track/79s5XnCN4TJKTVMSmOx8Ep
138,"Bohemian Rhapsody - Remastered 2011",Queen,761911,https://open.spotify.com/track/4u7EnebtmKWzUH433cf5Qv
139,"Mi Cuarto","Jerry Di",761067,https://open.spotify.com/track/6fmQjRuo7XvRFCK2qex5hQ
140,"Say So","Doja Cat",754795,https://open.spotify.com/track/3Dv1eDb0MEgF93GpLXlucZ
141,"ily (i love you baby) (feat. Emilee)","Surf Mesa",753911,https://open.spotify.com/track/62aP9fBQKYKxi7PDXwcUAS
142,"Deep End",Fousheé,751054,https://open.spotify.com/track/6HlE9t71z9DjGi7KqSyEpA
143,"everything i wanted","Billie Eilish",749910,https://open.spotify.com/track/3ZCTVFBt2Brf31RLEnCkWJ
144,"All We Got (feat. KIDDO)","Robin Schulz",744518,https://open.spotify.com/track/1FP9s72rDYty6mfoOEYKnE
145,"Whats Poppin (feat. DaBaby, Tory Lanez & Lil Wayne) [Remix] - Bonus Track","Jack Harlow",737359,https://open.spotify.com/track/0ZLuW8uOXdFNWcI40C0OC2
146,"Shape of You","Ed Sheeran",735311,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3
147,"Meia Noite (Você tem meu Whatsapp)","Tarcísio do Acordeon",732253,https://open.spotify.com/track/6sPBi0qLI6KM3yXX56NxsA
148,SAD!,XXXTENTACION,727577,https://open.spotify.com/track/3ee8Jmje8o58CHK66QrVC2
149,Angst,"Apache 207",726045,https://open.spotify.com/track/5yUzqd3H7cmJ1no6B4uTzu
150,"Do I Wanna Know?","Arctic Monkeys",724486,https://open.spotify.com/track/3rq5w4bQGigXOfdN30ATJt
151,Yellow,Coldplay,715435,https://open.spotify.com/track/3AJwUDP919kvQ9QcozQPxg
152,"Tú Me Dejaste De Querer","C. Tangana",714673,https://open.spotify.com/track/0XinBYhf1X3kdvKQHOX971
153,"SICKO MODE","Travis Scott",713137,https://open.spotify.com/track/2xLMifQCjDGFmkHkpNLD9h
154,"MODO TURBO","Luísa Sonza",712314,https://open.spotify.com/track/0YqTL3nSL36OFdHwHoqCag
155,"hot girl bummer",blackbear,707707,https://open.spotify.com/track/2mt1IqcFyY1zmYZT8Q3xw9
156,Caramelo,Ozuna,690009,https://open.spotify.com/track/5Jm4w8jmPEBTLjI9vH4fXo
157,"Star Shopping","Lil Peep",686663,https://open.spotify.com/track/30bqVoKjX479ab90a8Pafp
158,"All of Me","John Legend",686484,https://open.spotify.com/track/3U4isOIWM3VvDubwSI3y7a
159,"no body, no crime (feat. HAIM)","Taylor Swift",682296,https://open.spotify.com/track/6NriykdkRrjQMZo1sfVYUo
160,"Electric Love",BØRNS,680263,https://open.spotify.com/track/2GiJYvgVaD2HtM8GqD9EgQ
161,"Go Crazy","Chris Brown",679996,https://open.spotify.com/track/1IIKrJVP1C9N7iPtG6eOsK
162,"Amor ou o Litrão","Petter Ferraz",678742,https://open.spotify.com/track/7qmnP8Woc47dLSrMD5MxL1
163,Maniac,"Conan Gray",678473,https://open.spotify.com/track/6KfoDhO4XUWSbnyKjNp9c4
164,"I Don't Care (with Justin Bieber)","Ed Sheeran",674866,https://open.spotify.com/track/0hVXuCcriWRGvwMV1r5Yn9
165,"Lovesick Girls",BLACKPINK,666925,https://open.spotify.com/track/4Ws314Ylb27BVsvlZOy30C
166,"La Luz",Sech,664464,https://open.spotify.com/track/5zj8WNkBrEzlI5FKeYV4ol
167,"Kings & Queens","Ava Max",663036,https://open.spotify.com/track/7a53HqqArd4b9NF4XAmlbI
168,"De Cora <3","Rauw Alejandro",660510,https://open.spotify.com/track/22Sh5dlwbERqJAq1fZk5b2
169,"HACIENDO QUE ME AMAS","Bad Bunny",660473,https://open.spotify.com/track/26QApq0cuO9brJigr0C0W4
170,"Basta Você Me Ligar - Ao Vivo","Os Barões Da Pisadinha",659612,https://open.spotify.com/track/3rRin3LyLY92kpEbkCgwf4
171,"Sunday Best",Surfaces,651011,https://open.spotify.com/track/1Cv1YLb4q0RzL6pybtaMLo
172,"Investe Em Mim","Jonas Esticado",645357,https://open.spotify.com/track/15k1TDabqSEmyXOwMq9RM7
173,"when the party's over","Billie Eilish",643783,https://open.spotify.com/track/43zdsphuZLzwA9k4DJhU0I
174,"Ice Cream (with Selena Gomez)",BLACKPINK,642345,https://open.spotify.com/track/4JUPEh2DVSXFGExu4Uxevz
175,"Be Alright","Dean Lewis",642318,https://open.spotify.com/track/5qrSlOut2rNAWv3ubArkNy
176,"rockstar (feat. 21 Savage)","Post Malone",641314,https://open.spotify.com/track/0e7ipj03S05BNilyu5bRzt
177,"Someone To You",BANNERS,639181,https://open.spotify.com/track/2f0pn9DkEJwAzXApnFh5cr
178,"Everybody Dies In Their Nightmares",XXXTENTACION,637395,https://open.spotify.com/track/3GVkPk8mqxz0itaAriG1L7
179,"The Less I Know The Better","Tame Impala",637147,https://open.spotify.com/track/6K4t31amVTZDgR3sKmwUJJ
180,"Lance Individual","Jorge & Mateus",637058,https://open.spotify.com/track/7GLWWrk1YlkPYqJK3ynIA0
181,"Take Me To Church",Hozier,635474,https://open.spotify.com/track/3dYD57lRAUcMHufyqn9GcI
182,"Tequila Shots","Kid Cudi",634020,https://open.spotify.com/track/30KctD1WsHKTIYczXjip5a
183,"Ponte Pa' Mi","Justin Quiles",632050,https://open.spotify.com/track/4C6BlqqMwjFzOXzqpTeoWR
184,"Without Me",Halsey,631015,https://open.spotify.com/track/6FZDfxM3a3UCqtzo5pxSLZ
185,"Dancing in My Room",347aidan,627475,https://open.spotify.com/track/6Pgmqg15yVexuOgtzuxwoX
186,"The Woo (feat. 50 Cent & Roddy Ricch)","Pop Smoke",622903,https://open.spotify.com/track/1H7KnK26kc1YyellpbINEn
187,"BOOKER T","Bad Bunny",621637,https://open.spotify.com/track/26w9NTiE9NGjW1ZvIOd1So
188,"In Your Eyes","The Weeknd",620706,https://open.spotify.com/track/7szuecWAPwGoV1e5vGu8tl
189,Diamonds,"Sam Smith",620315,https://open.spotify.com/track/1hJIbOjWpid6LtnozHmzRS
190,Moonlight,XXXTENTACION,620158,https://open.spotify.com/track/0JP9xo3adEtGSdUEISiszL
191,"Smells Like Teen Spirit",Nirvana,617621,https://open.spotify.com/track/1f3yAtsJtY87CTmM8RLnxf
192,Happier,Marshmello,617536,https://open.spotify.com/track/2dpaYNEQHiRxtZbfNsse99
193,"Every Breath You Take","The Police",616851,https://open.spotify.com/track/1JSTJqkT5qHq8MDJnJbRE1
194,"Alô Ambev (Segue Sua Vida) - Ao Vivo","Zé Neto & Cristiano",614335,https://open.spotify.com/track/5m5aY6S9ttfIG157xli2Rs
195,"Get You The Moon (feat. Snøw)",Kina,613032,https://open.spotify.com/track/4ZLzoOkj0MPWrTLvooIuaa
196,Azul,"J Balvin",612993,https://open.spotify.com/track/2lCkncy6bIB0LTMT7kvrD1
197,"E-GIRLS ARE RUINING MY LIFE!",CORPSE,610831,https://open.spotify.com/track/7bCfHiRcfUjG0YVVNUL7Ve
198,"I CAN'T STOP ME",TWICE,609724,https://open.spotify.com/track/3apeXzypBMnUfYcZYNX6DH
199,"SLOW DANCING IN THE DARK",Joji,609686,https://open.spotify.com/track/0rKtyWc8bvkriBthvHKY8d
200,"Party Girl",StaySolidRocky,609545,https://open.spotify.com/track/3IJYUaN3tx04S4TYyZHKoP
