,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,DÁKITI,"Bad Bunny",4231750,https://open.spotify.com/track/4MzXwWMhyBbmu6hOcLVD49
2,"Mood (feat. iann dior)",24kGoldn,3155325,https://open.spotify.com/track/3tjFYV6RSFtuktYl3ZtYcq
3,"Blinding Lights","The Weeknd",2991466,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
4,positions,"Ariana Grande",2897277,https://open.spotify.com/track/35mvY5S1H3J2QZyna3TFe0
5,BICHOTA,"KAROL G",2865720,https://open.spotify.com/track/7vrJn5hDSXRmdXoR30KgF1
6,Anyone,"Justin Bieber",2771319,https://open.spotify.com/track/31qCy5ZaophVA81wtlwLc4
7,34+35,"Ariana Grande",2630130,https://open.spotify.com/track/6Im9k8u9iIzKMrmV7BWtlF
8,"Lemonade (feat. Gunna, Don Toliver & NAV)","Internet Money",2442006,https://open.spotify.com/track/7hxHWCCAIIxFLCzvDgnQHX
9,Dynamite,BTS,2394081,https://open.spotify.com/track/4saklk6nie3yiGePpBwUoc
10,"LA NOCHE DE ANOCHE","Bad Bunny",2309010,https://open.spotify.com/track/2XIc1pqjXV3Cr2BQUGNBck
11,Whoopty,CJ,2241820,https://open.spotify.com/track/5vGLcdRuSbUhD8ScwsGSdA
12,"WITHOUT YOU","The Kid LAROI",2235170,https://open.spotify.com/track/27OeeYzk6klgBh83TSvGMA
13,"Therefore I Am","Billie Eilish",2151753,https://open.spotify.com/track/54bFM56PmE4YLRnqpW6Tha
14,"Levitating (feat. DaBaby)","Dua Lipa",2040863,https://open.spotify.com/track/5nujrmhLynf4yMoMtj8AQF
15,"What You Know Bout Love","Pop Smoke",2014781,https://open.spotify.com/track/1tkg4EHVoqnhR6iFEXb60y
16,"Monster (Shawn Mendes & Justin Bieber)","Shawn Mendes",1929914,https://open.spotify.com/track/1HbA4N1MiOsPthALesGFR1
