,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
74,"Overpass Graffiti","Ed Sheeran",1269995,https://open.spotify.com/track/4btFHqumCO31GksfuBLLv3
75,"Salimo de Noche","Tiago PZK",1262787,https://open.spotify.com/track/6P096SaOzrgGxs8NWOfX7M
76,"Last Christmas",Wham!,1252164,https://open.spotify.com/track/2FRnf9qhLbvw8fu4IBXx78
77,"Don't Be Shy",Tiësto,1229604,https://open.spotify.com/track/0bI7K9Becu2dtXK1Q3cZNB
78,Butter,BTS,1192308,https://open.spotify.com/track/2bgTY4UwhfBYhGT4HUYStN
79,"The Feels",TWICE,1148647,https://open.spotify.com/track/1qE8DOtw7zdXHMgZm20eLM
80,"You Right","Doja Cat",1148191,https://open.spotify.com/track/0k4d5YPDr1r7FX77VdqWez
81,"Someone You Loved","Lewis Capaldi",1147272,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
82,"Save Your Tears","The Weeknd",1146107,https://open.spotify.com/track/5QO79kh1waicV47BqGRL3g
83,"Dark Red","Steve Lacy",1131135,https://open.spotify.com/track/37y7iDayfwm3WXn5BiAoRk
84,"Nothing New (feat. Phoebe Bridgers) (Taylor’s Version) (From The Vault)","Taylor Swift",1123178,https://open.spotify.com/track/01K4zKU104LyJ8gMb7227B
85,DÁKITI,"Bad Bunny",1118504,https://open.spotify.com/track/4MzXwWMhyBbmu6hOcLVD49
86,"I Bet You Think About Me (feat. Chris Stapleton) (Taylor’s Version) (From The Vault)","Taylor Swift",1100666,https://open.spotify.com/track/4CkgMiMqZ5JzW9iYXSTMTL
87,"GHOST TOWN","Benson Boone",1091498,https://open.spotify.com/track/135Lf4Q0CzlMNfOxbEUsLH
88,"Love In The Dark",Adele,1078468,https://open.spotify.com/track/0DuWDLjriRPjDRoPgaCslY
89,Cúrame,"Rauw Alejandro",1073521,https://open.spotify.com/track/3PwRuzdphgedcWVUOVYJ7I
90,2055,"Sleepy Hallow",1065315,https://open.spotify.com/track/4XvcHTUfIlWfyJTRG0aqlo
91,"It's Beginning to Look a Lot like Christmas","Michael Bublé",1055912,https://open.spotify.com/track/0lLdorYw7lVrJydTINhWdI
92,"Volando - Remix",Mora,1052392,https://open.spotify.com/track/0G2zPzWqVjR68iNPmx2TBe
93,Sobrio,Maluma,1044848,https://open.spotify.com/track/4HzqWEdAbzcVFDv0pvxV4w
94,Bar,TINI,1035133,https://open.spotify.com/track/0lJE8f0lx8mUSfMyxeYpiC
95,Dynamite,BTS,1029175,https://open.spotify.com/track/4saklk6nie3yiGePpBwUoc
96,"Don't Start Now","Dua Lipa",1027617,https://open.spotify.com/track/3PfIrDoz19wz7qK7tYeu62
97,"deja vu","Olivia Rodrigo",1026121,https://open.spotify.com/track/6HU7h9RYOaPRFeh0R3UeAr
98,"OUT OUT (feat. Charli XCX & Saweetie)","Joel Corry",1020058,https://open.spotify.com/track/6Dy1jexKYriXAVG6evyUTJ
99,"Esqueça-Me Se For Capaz","Marília Mendonça",1017277,https://open.spotify.com/track/4qsOrxBv09HhNSpsgMRXdC
100,"Ley Seca","Jhay Cortez",1015873,https://open.spotify.com/track/3JCaq3KDSROg3TXhdiDa9n
101,"lovely (with Khalid)","Billie Eilish",1002412,https://open.spotify.com/track/0u2P5u6lvoDfwTYjAADbn4
102,"Fair Trade (with Travis Scott)",Drake,1001575,https://open.spotify.com/track/40iJIUlhi6renaREYGeIDS
103,"I WANNA BE YOUR SLAVE",Måneskin,996752,https://open.spotify.com/track/4pt5fDVTg5GhEvEtlz9dKk
104,"Get Into It (Yuh)","Doja Cat",993151,https://open.spotify.com/track/0W6I02J9xcqK8MtSeosEXb
105,"Happier Than Ever - Edit","Billie Eilish",989805,https://open.spotify.com/track/32BeYxKPrig1LefHsC0Xuo
106,"Jingle Bell Rock","Bobby Helms",986955,https://open.spotify.com/track/7vQbuQcyTflfCIOu3Uzzya
107,Believer,"Imagine Dragons",974213,https://open.spotify.com/track/0pqnGHJpmpxLKifKRmU6WP
108,"ESCAPE PLAN","Travis Scott",972831,https://open.spotify.com/track/4R67rQNSbbsR4TdUVOIdez
109,"SG (with Ozuna, Megan Thee Stallion & LISA of BLACKPINK)","DJ Snake",968135,https://open.spotify.com/track/6IPNp9PfaEqrzotY47TIWy
110,Bored,"Billie Eilish",965894,https://open.spotify.com/track/04sN26COy28wTXYj3dMoiZ
111,"Bad Man (Smooth Criminal)","Polo G",964351,https://open.spotify.com/track/6RfhBNU1FPWTG7VESlfgOl
112,"feel like shit","Tate McRae",962331,https://open.spotify.com/track/2EBnvom1dTybtm75a3Xh1T
113,"Before You Go","Lewis Capaldi",957010,https://open.spotify.com/track/2gMXnyrvIjhVBUZwvLZDMP
114,Dandelions,"Ruth B.",954572,https://open.spotify.com/track/2eAvDnpXP5W0cVtiI0PUxV
115,Índigo,Camilo,945622,https://open.spotify.com/track/4knc1Fp3kbuq8bH2byOvLu
116,"Mood (feat. iann dior)",24kGoldn,941797,https://open.spotify.com/track/4jPy3l0RUwlUI9T5XHBW2m
117,"Qué Más Pues?","J Balvin",938626,https://open.spotify.com/track/6D2TCm4nf5nxAcdGJ7w3QP
118,"family ties (with Kendrick Lamar)","Baby Keem",938441,https://open.spotify.com/track/3QFInJAm9eyaho5vBzxInN
119,"Another Love","Tom Odell",937792,https://open.spotify.com/track/7jtQIBanIiJOMS6RyCx6jZ
120,"Rockin' Around The Christmas Tree","Brenda Lee",933515,https://open.spotify.com/track/2EjXfH91m7f8HiJN1yQg97
121,"Santa Tell Me","Ariana Grande",931857,https://open.spotify.com/track/0lizgQ7Qw35od7CYaoMBZb
122,Súbelo,"Anuel AA",930560,https://open.spotify.com/track/3fHEwAssCgM4wJYdjT5Ch0
123,Freaks,"Surf Curse",928306,https://open.spotify.com/track/7EkWXAI1wn8Ii883ecd9xr
124,Sky,"Playboi Carti",920798,https://open.spotify.com/track/29TPjc8wxfz4XMn21O7VsZ
125,"Sunflower - Spider-Man: Into the Spider-Verse","Post Malone",918012,https://open.spotify.com/track/0RiRZpuVRbi7oqRdSMwhQY
126,Acapulco,"Jason Derulo",914734,https://open.spotify.com/track/3eJH2nAjvNXdmPfBkALiPZ
127,"Take My Breath","The Weeknd",914705,https://open.spotify.com/track/6M3PsepEj5gyJoIi7Xvr7u
128,happier,"Olivia Rodrigo",912530,https://open.spotify.com/track/2tGvwE8GcFKwNdAXMnlbfl
129,Perfect,"Ed Sheeran",908934,https://open.spotify.com/track/0tgVpDi06FyKpA1z0VMD4v
130,"Todo Mundo Menos Você","Marília Mendonça",907600,https://open.spotify.com/track/053zWWZDziDJd3U94x8RuP
131,Notion,"The Rare Occasions",900541,https://open.spotify.com/track/4cHKd6qPMR1TMx55KHlida
132,"I Knew You Were Trouble (Taylor's Version)","Taylor Swift",898217,https://open.spotify.com/track/6AtZLIzUINvExIUy4QhdjP
133,"The Motto",Tiësto,894832,https://open.spotify.com/track/18asYwWugKjjsihZ0YvRxO
134,Shallow,"Lady Gaga",894302,https://open.spotify.com/track/2VxeLyX666F8uXCJ0dZF8B
135,"Jugaste y Sufrí","Eslabon Armado",889591,https://open.spotify.com/track/3NqBxTOMCJ3zW9CIP51td4
136,Falling,"Harry Styles",886974,https://open.spotify.com/track/1ZMiCix7XSAbfAJlEZWMCp
137,"Wildest Dreams (Taylor's Version)","Taylor Swift",884345,https://open.spotify.com/track/1Ov37jtRQ2YNAe8HzfczkL
138,"Set Fire to the Rain",Adele,881822,https://open.spotify.com/track/7j4OmvkjRz0PrjFADlHfQx
139,Circles,"Post Malone",878536,https://open.spotify.com/track/21jGcNKet2qwijlDFuPiPb
140,"∞ LOVE (feat. Guè)",Marracash,876511,https://open.spotify.com/track/2VyZWWKamfq7kVnh5gMgPd
141,"DANCE CRIP",Trueno,864636,https://open.spotify.com/track/1kjs5eR4DMzyB0gm1Z8waV
142,"Run (feat. Ed Sheeran) (Taylor’s Version) (From The Vault)","Taylor Swift",862861,https://open.spotify.com/track/4IQkfUsrwXol38VV3U7t7T
143,Yellow,Coldplay,856656,https://open.spotify.com/track/3AJwUDP919kvQ9QcozQPxg
144,"Una Vaina Loca",Fuego,850018,https://open.spotify.com/track/2qEoAz0i6yEz5dPggABcLH
145,"Lucid Dreams","Juice WRLD",848431,https://open.spotify.com/track/285pBltuF7vW8TeWk8hdRR
146,"Dance Monkey","Tones And I",847864,https://open.spotify.com/track/2N8m6CYs74qQO4mjVcXO30
147,"In Da Getto","J Balvin",845015,https://open.spotify.com/track/1q0PYXTbDsirp2l74ng6pn
148,"Shape of You","Ed Sheeran",841414,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3
149,Heather,"Conan Gray",837019,https://open.spotify.com/track/4xqrdfXkTW4T0RauPLv3WA
150,positions,"Ariana Grande",831603,https://open.spotify.com/track/35mvY5S1H3J2QZyna3TFe0
151,Presepada,"Marília Mendonça",831356,https://open.spotify.com/track/3YvE7uo4ffseBoJPh8IhHp
152,"Permission to Dance",BTS,830251,https://open.spotify.com/track/5eXBXreN3d1zdj6Sa8dS0u
153,"All of Me","John Legend",825869,https://open.spotify.com/track/3U4isOIWM3VvDubwSI3y7a
154,"edamame (feat. Rich Brian)",bbno$,824074,https://open.spotify.com/track/5rW7qTn83sCKtqBoneJs63
155,"Daddy Issues","The Neighbourhood",819830,https://open.spotify.com/track/5E30LdtzQTGqRvNd7l6kG5
156,"Take Me To Church",Hozier,817393,https://open.spotify.com/track/3dYD57lRAUcMHufyqn9GcI
157,"Say You Won't Let Go","James Arthur",815169,https://open.spotify.com/track/5uCax9HTNlzGybIStD3vDh
158,"FEEL ME??",Trueno,814607,https://open.spotify.com/track/4kELKaXaNP4EQR8Q8xNIID
159,"you broke me first","Tate McRae",814474,https://open.spotify.com/track/45bE4HXI0AwGZXfZtMp8JR
160,Snowman,Sia,811778,https://open.spotify.com/track/7uoFMmxln0GPXQ0AcCBXRq
161,"Tacones Rojos","Sebastian Yatra",810619,https://open.spotify.com/track/0Be7sopyKMv8Y8npsUkax2
162,"Astronaut In The Ocean","Masked Wolf",809384,https://open.spotify.com/track/6E90gq0KO6FYZVOXx8kCcC
163,"Talking to the Moon","Bruno Mars",806151,https://open.spotify.com/track/161DnLWsx1i3u1JT05lzqU
164,"Why'd You Only Call Me When You're High?","Arctic Monkeys",802831,https://open.spotify.com/track/48q0vSHcJdhK3IiXH8C5WJ
165,"State Of Grace (Taylor's Version)","Taylor Swift",798461,https://open.spotify.com/track/6lzc0Al0zfZOIFsFvBS1ki
166,"Smells Like Teen Spirit - Remastered",Nirvana,795882,https://open.spotify.com/track/0gucTLf7trAf37Ua1uAyAu
167,"Without Me",Eminem,795053,https://open.spotify.com/track/7lQ8MOhq6IN2w8EYcFNSUk
168,Arcade,"Duncan Laurence",794824,https://open.spotify.com/track/1J14CdDAvBTE1AJYUOwl6C
169,"The Business",Tiësto,789407,https://open.spotify.com/track/6f3Slt0GbA2bPZlz0aIFXN
170,"Lost in the Fire (feat. The Weeknd)",Gesaffelstein,787874,https://open.spotify.com/track/2vXKRlJBXyOcvZYTdNeckS
171,"Blank Space","Taylor Swift",787649,https://open.spotify.com/track/1u8c2t2Cy7UBoG4ArRcF5g
172,RAPSTAR,"Polo G",786387,https://open.spotify.com/track/18vXApRmJSgQ6wG2ll9AOg
173,"Leave Before You Love Me (with Jonas Brothers)",Marshmello,785310,https://open.spotify.com/track/4qu63nuBpdn0qHUHuObEj1
174,"Jocelyn Flores",XXXTENTACION,781407,https://open.spotify.com/track/7m9OqQk4RVRkw9JJdeAw96
175,"AM Remix","Nio Garcia",781066,https://open.spotify.com/track/05bfbizlM5AX6Mf1RRyMho
176,"Heartbreak Anniversary",Giveon,779732,https://open.spotify.com/track/3FAJ6O0NOHQV8Mc5Ri6ENp
177,"It's the Most Wonderful Time of the Year","Andy Williams",779641,https://open.spotify.com/track/1IcR6RlgvDczfvoWJSSY2A
178,"22 (Taylor's Version)","Taylor Swift",779313,https://open.spotify.com/track/3yII7UwgLF6K5zW3xad3MP
179,"Message In A Bottle (Taylor's Version) (From The Vault)","Taylor Swift",777535,https://open.spotify.com/track/3z6XUommYDWPHeFhmhhT6j
180,"Don't Go Yet","Camila Cabello",775165,https://open.spotify.com/track/1058fW9H3fZA6QjYCdOBad
181,"Adore You","Harry Styles",773033,https://open.spotify.com/track/3jjujdWJ72nww5eGnfs2E7
182,"Tiroteo - Remix","Marc Seguí",767665,https://open.spotify.com/track/4OwhwvKESFtuu06dTgct7i
183,GALOPA,"PEDRO SAMPAIO",763825,https://open.spotify.com/track/2wG1R0uDFwyobcWzVssC1J
184,"The Nights",Avicii,762926,https://open.spotify.com/track/0ct6r3EGTcMLPtrXHDvVjc
185,"Mr. Brightside","The Killers",761501,https://open.spotify.com/track/003vvx7Niy0yvhvHt4a68B
186,"Counting Stars",OneRepublic,760873,https://open.spotify.com/track/2tpWsVSb9UEmDRxAl1zhX1
187,Señorita,"Shawn Mendes",757890,https://open.spotify.com/track/6v3KW9xbzN5yKLt9YKDYA2
188,Medallo,Blessd,756838,https://open.spotify.com/track/6lX6l7OuA3qrnIRfdsr0dw
189,"The Real Slim Shady",Eminem,755517,https://open.spotify.com/track/3yfqSUWxFvZELEM4PmlwIR
190,goosebumps,"Travis Scott",755143,https://open.spotify.com/track/6gBFPUFcJLzWGx4lenP6h2
191,"Vai Lá Em Casa Hoje","George Henrique & Rodrigo",755008,https://open.spotify.com/track/1c4htMHiolERc0YJvZNdlc
192,Memories,"Maroon 5",753778,https://open.spotify.com/track/4cktbXiXOapiLBMprHFErI
193,"favorite crime","Olivia Rodrigo",753192,https://open.spotify.com/track/5JCoSi02qi3jJeHdZXMmR8
194,"Make You Feel My Love",Adele,749848,https://open.spotify.com/track/273QnyCvJB65rScHJ1nPZb
195,Ameaça,"Paulo Pires",749089,https://open.spotify.com/track/4fSHADbZbhpZCT9oJpxwbP
196,"I GUESS I'M IN LOVE","Clinton Kane",747785,https://open.spotify.com/track/1is8gU4RVcN4J8xItxWoOY
197,"Love Again","Dua Lipa",745481,https://open.spotify.com/track/4rPkN1FMzQyFNP9cLUGIIB
198,"Somebody That I Used To Know",Gotye,745173,https://open.spotify.com/track/1qDrWA6lyx8cLECdZE7TV7
199,"Arranhão - Live - Palmas / 2021","Henrique & Juliano",742366,https://open.spotify.com/track/4u06FbRh6FvV2FQZkouzCw
200,Riptide,"Vance Joy",738598,https://open.spotify.com/track/7yq4Qj7cqayVTp3FF9CWbm
