,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"Easy On Me",Adele,8155329,https://open.spotify.com/track/46IZ0fSY2mpAiktS3KOqds
2,"STAY (with Justin Bieber)","The Kid LAROI",4868321,https://open.spotify.com/track/5PjdY0CKGZdEuoNab3yDmX
3,"Oh My God",Adele,4818396,https://open.spotify.com/track/3Kkjo3cT83cw09VJyrLNwX
4,"All Too Well (10 Minute Version) (Taylor's Version) (From The Vault)","Taylor Swift",4395457,https://open.spotify.com/track/5enxwA8aAbwZbf5qCHORXi
5,"INDUSTRY BABY (feat. Jack Harlow)","Lil Nas X",4237868,https://open.spotify.com/track/5Z9KJZvQzH6PFmb8SNkxuk
6,"Cold Heart - PNAU Remix","Elton John",3746989,https://open.spotify.com/track/7rglLriMNBPAyuJOMGwi39
7,"Heat Waves","Glass Animals",3679639,https://open.spotify.com/track/02MWAaffLxlfxAUY7c5dvx
8,Shivers,"Ed Sheeran",3429726,https://open.spotify.com/track/50nfwKoDiSYg8zOCREWAm5
9,"Can I Get It",Adele,3183190,https://open.spotify.com/track/6w8ZPYdnGajyfPddTWdthN
10,"Enemy (with JID) - from the series Arcane League of Legends","Imagine Dragons",3051467,https://open.spotify.com/track/1r9xUipOqoNwggBpENDsvJ
11,"I Drink Wine",Adele,3047884,https://open.spotify.com/track/6v0UJD4a2FtleHeSYVX02A
12,"My Little Love",Adele,3016763,https://open.spotify.com/track/2DuPBbS5mIldXnh7Wum8Cy
13,Pepas,Farruko,2906559,https://open.spotify.com/track/2B4GHvToeLTOBB4QLzW3Ni
14,"Bad Habits","Ed Sheeran",2868354,https://open.spotify.com/track/3rmo8F54jFF8OgYsqTxm5d
15,"Smokin Out The Window","Bruno Mars",2766925,https://open.spotify.com/track/7sMBvZCSUl99bJLXZaLa0b
16,"Strangers By Nature",Adele,2670956,https://open.spotify.com/track/13CVSGLSFl4UxpDVR6u3dq
17,abcdefu,GAYLE,2667246,https://open.spotify.com/track/4fouWK6XVHhzl78KzQ1UjL
18,"My Universe",Coldplay,2560147,https://open.spotify.com/track/46HNZY1i7O6jwTA7Slo2PI
19,MONEY,LISA,2501048,https://open.spotify.com/track/7hU3IHwjX150XLoTVmjD0q
20,Woman,"Doja Cat",2486073,https://open.spotify.com/track/6Uj1ctrBOjOas8xZXGqKk4
21,"Cry Your Heart Out",Adele,2481267,https://open.spotify.com/track/09u787BYeYIGd2mFIJ505t
22,"To Be Loved",Adele,2397967,https://open.spotify.com/track/10ImcQk9tihY1EKMDIbvXJ
23,"One Right Now (with The Weeknd)","Post Malone",2375619,https://open.spotify.com/track/00Blm7zeNqgYLPtW6zg8cj
24,"love nwantiti (ah ah ah)",CKay,2227687,https://open.spotify.com/track/2Xr1dTzJee307rmrkt8c0g
25,"Do It To It",ACRAZE,2225173,https://open.spotify.com/track/20on25jryn53hWghthWWW3
26,Toxic,BoyWithUke,2221843,https://open.spotify.com/track/2gQPv5jvVPqU2a9HhMNO1v
27,"good 4 u","Olivia Rodrigo",2129056,https://open.spotify.com/track/4ZtFanR9U6ndgddUvNcjcG
28,"All Night Parking (with Erroll Garner) Interlude",Adele,2122088,https://open.spotify.com/track/496vIKS2INz840xZaKncvR
29,"Hold On",Adele,2112849,https://open.spotify.com/track/6bGMSP3H9YqkmaLnaJTIoF
30,"Woman Like Me",Adele,2091894,https://open.spotify.com/track/2c6xRsQBv7pynuhYhWoHxo
31,"SAD GIRLZ LUV MONEY Remix (feat. Kali Uchis and Moliy)",Amaarae,2091508,https://open.spotify.com/track/09gysnJpfQ3ublBmJDfcEC
32,"love nwantiti (feat. Dj Yo! & AX'EL) - Remix",CKay,2081193,https://open.spotify.com/track/4gvrJnKCKIPiacNsWVQwEU
33,"Need to Know","Doja Cat",2004898,https://open.spotify.com/track/3Vi5XqYrmQgOYBajMWSvCi
34,"THATS WHAT I WANT","Lil Nas X",2003281,https://open.spotify.com/track/0e8nrvls4Qqv5Rfa2UhqmO
35,Beggin',Måneskin,1966952,https://open.spotify.com/track/3Wrjm47oTz2sjIgck11l5e
36,"Kiss Me More (feat. SZA)","Doja Cat",1958396,https://open.spotify.com/track/3DarAbFujv6eYNliUTyqtz
37,Ghost,"Justin Bieber",1921918,https://open.spotify.com/track/6I3mqTwhRpn34SLVafSH7G
38,"Happier Than Ever","Billie Eilish",1917427,https://open.spotify.com/track/4RVwu0g32PAqgUiJoXsdF8
39,"MONTERO (Call Me By Your Name)","Lil Nas X",1882096,https://open.spotify.com/track/1SC5rEoYDGUK4NfG82494W
40,"Love Is A Game",Adele,1861117,https://open.spotify.com/track/2j3GxEsbNYNeEzz86wDY4J
41,"Moth To A Flame (with The Weeknd)","Swedish House Mafia",1851962,https://open.spotify.com/track/2gpWyfu7eZ01zzncHpxOtA
42,"Lo Siento BB:/ (with Bad Bunny & Julieta Venegas)",Tainy,1788340,https://open.spotify.com/track/4gzsuuZypVbxs0Af1LSZyB
43,"All I Want for Christmas Is You","Mariah Carey",1729887,https://open.spotify.com/track/0bYg9bo50gSsH3LtXe2SQn
44,"Where Are You Now","Lost Frequencies",1729533,https://open.spotify.com/track/3uUuGVFu1V7jTQL60S1r8z
45,"LA FAMA (with The Weeknd)",ROSALÍA,1683491,https://open.spotify.com/track/6dmXZ9B5HdFAyzHeTneYBK
46,"Blinding Lights","The Weeknd",1661931,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
47,"Meet Me At Our Spot","THE ANXIETY",1659971,https://open.spotify.com/track/07MDkzWARZaLEdKxo6yArG
48,Yonaguni,"Bad Bunny",1647345,https://open.spotify.com/track/2JPLbjOn0wPCngEot2STUS
49,"Life Goes On","Oliver Tree",1623994,https://open.spotify.com/track/0eu4C55hL6x29mmeAjytzC
50,"Better Days (NEIKED x Mae Muller x Polo G)",NEIKED,1601754,https://open.spotify.com/track/6f5ExP43esnvdKPddwKXJH
51,traitor,"Olivia Rodrigo",1593058,https://open.spotify.com/track/5CZ40GBx1sQ9agT82CLQCT
52,"I Love You So","The Walters",1571981,https://open.spotify.com/track/4SqWKzw0CbA05TGszDgMlc
53,"Already Dead","Juice WRLD",1470437,https://open.spotify.com/track/7qM1BWAsZMTYh4BcYLb0uQ
54,"Rolling in the Deep",Adele,1434929,https://open.spotify.com/track/6IAZHEBUIGJ6NJKxxOBIEr
55,"Sweater Weather","The Neighbourhood",1431339,https://open.spotify.com/track/2QjOHCTQ1Jl3zawyYOpxh6
56,"Leave The Door Open","Bruno Mars",1386968,https://open.spotify.com/track/1LPSkqVhWVRUkKE03YUkpB
57,"Todo De Ti","Rauw Alejandro",1386782,https://open.spotify.com/track/5RwV8BvLfX5injfqYodke9
58,"Levitating (feat. DaBaby)","Dua Lipa",1370710,https://open.spotify.com/track/5nujrmhLynf4yMoMtj8AQF
59,Volví,Aventura,1360825,https://open.spotify.com/track/2vmfvSoZBFAt9hhRoEByLi
60,Enchanted,"Taylor Swift",1354642,https://open.spotify.com/track/04S1pkp1VaIqjg8zZqknR5
61,"All Too Well (Taylor's Version)","Taylor Swift",1333554,https://open.spotify.com/track/3nsfB1vus2qaloUdcBZvDu
62,"Peaches (feat. Daniel Caesar & Giveon)","Justin Bieber",1324910,https://open.spotify.com/track/4iJyoBOLtHqaGxP12qzhQI
63,"Way 2 Sexy (with Future & Young Thug)",Drake,1321944,https://open.spotify.com/track/0k1WUmIRnG3xU6fvvDVfRG
64,"Red (Taylor's Version)","Taylor Swift",1321553,https://open.spotify.com/track/4OAuvHryIVv4kMDNSLuPt6
65,"drivers license","Olivia Rodrigo",1305715,https://open.spotify.com/track/5wANPM4fQCJwkGd4rN57mH
66,Nostálgico,Rvssian,1304042,https://open.spotify.com/track/2BEcap3xJtmiPaHKyfQi4e
67,"Praise God","Kanye West",1300905,https://open.spotify.com/track/0WSEq9Ko4kFPt8yo3ICd6T
68,"Mon Amour - Remix",zzoilo,1291084,https://open.spotify.com/track/5TMLavqGRKNxgzMBrVpC9R
69,"When We Were Young",Adele,1288765,https://open.spotify.com/track/6O5TrlFWTYvznd9fMC0VvU
70,"Someone Like You",Adele,1282154,https://open.spotify.com/track/5lkpeJwmQKgY3bX2zChjxX
71,"Save Your Tears (with Ariana Grande) (Remix)","The Weeknd",1280939,https://open.spotify.com/track/37BZB0z9T8Xu7U3e65qxFy
72,"Watermelon Sugar","Harry Styles",1276060,https://open.spotify.com/track/6UelLqGlWMcVH1E5c4H7lY
73,"Knife Talk (with 21 Savage ft. Project Pat)",Drake,1273940,https://open.spotify.com/track/2BcMwX1MPV6ZHP4tUT9uq6
